gbifID,SEINetID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,SpeciesEdited,ScientificNameEdited,GenusEdited,FamilyEdited,Source,DownloadDate,Reference,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,datasetName,ownerInstitutionCode,informationWithheld,dataGeneralizations,dynamicProperties,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,preparations,disposition,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventTime,startDayOfYear,endDayOfYear,verbatimEventDate,habitat,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,county,municipality,verbatimLocality,verbatimElevation,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,subgenus,specificEpithet,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,publishingCountry,distanceAboveSurface,distanceAboveSurfaceAccuracy,hasCoordinate,hasGeospatialIssues,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,genericName,acceptedScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,recordedByID,identifiedByID,datelastmodified,scientificnameauthor,yearidentified,monthidentified,dayidentified,collectornumber,julianday,boundingbox,minimumelevation,maximumelevation,minimumdepth,maximumdepth,previouscatalognumber,relationshiptype,relatedcatalogitem,notes,barcode,CercidBaseID
,,,,Plantae,Dicotyledon,,Fabales,Leguminosae-Caes,Bauhinia,glauca,tenuiflora,,Bauhinia glauca tenuiflora,,,Brasil,"√Årea do Reservat√≥rio da UHE de Samuel, √Årea do reservat√≥rio da Usina Hidrel√©trica de Samuel.",Rond√¥nia,,,,-9.516667,-63.733333,,,,,,,,11,6,1986,,,S,INPA,INPA,140813,,,,,,"Ferreira, CAC",,,,,,Cheniella glauca,Cheniella glauca (Benth.) R.Clark & Mackinder,Cheniella,Leguminosae,Specieslink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southern America,,,,Porto Velho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-31 11:51,(Watt ex C.B.Clarke) K.Larsen & S.S.Larsen,1997,,,7426,,,,,,,,,,,,Che1
,,,,Plantae,Dicotyledon,,Fabales,Leguminosae-Caes,Bauhinia,tenuiflora,,,Bauhinia tenuiflora,,,Brasil,"Ariramba, Quadr√≠cula SA-22-VB-ponto 91.",Amap√°,,,,1.866489,-52.431858,,,,,,,,17,6,1982,,,S,INPA,INPA,131105,,,,,,"Rosa, NA",,,,,,Cheniella tenuiflora,Cheniella tenuiflora (Watt ex C.B.Clarke) R.Clark & Mackinder,Cheniella,Leguminosae,Specieslink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southern America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-31 11:51,Watt ex C.B.Clarke,,,,4357,,,,,,,,,,,,Che2
,,,,Plantae,Dicotyledon,,Fabales,Leguminosae-Caes,Bauhinia,tenuiflora,,,Bauhinia tenuiflora,,,Brasil,"Caraj√°s, Serra Norte. Estrada H-7,30 Km do acampamento",Par√°,,,,-6.070914,-50.351028,,,,,,,,4,8,1982,,,S,INPA,INPA,138978,,,,,,"Maciel, UN",,,,,,Cheniella tenuiflora,Cheniella tenuiflora (Watt ex C.B.Clarke) R.Clark & Mackinder,Cheniella,Leguminosae,Specieslink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southern America,,,,Marab√°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-31 11:51,Watt ex C.B.Clarke,,,,745,,,,,,,,,,,,Che3
,,,,Plantae,Magnoliophyta,,Fabales,Fabaceae,Bauhinia,tenuiflora,,,Bauhinia tenuiflora,,,Brazil,"√Årea do Reservat√≥rio da Usina Hidrel√©trica de Samuel. Mata de terra firme, solo argiloso.",Rond√¥nia,,,,-8.9204557,-63.418158,,,,,,,,,6,1986,,,PreservedSpecimen,NY,NYBG,1135139,,,,,,C. A. Cid Ferreira,,,,,,Cheniella tenuiflora,Cheniella tenuiflora (Watt ex C.B.Clarke) R.Clark & Mackinder,Cheniella,Leguminosae,Specieslink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,Porto Velho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-14 19:34,Watt ex C.B.Clarke,,,,7426,,,,,,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1374660' target='other'> <mi>dwc_moreinfo</mi></a>,,Che4
,,,,Plantae,Magnoliophyta,,Fabales,Fabaceae,Bauhinia,tenuiflora,,,Bauhinia tenuiflora,,,Brazil,"Caraj√°s, Serra Norte. Estrada H-7,30 km do acampamento.",Par√°,,,,-6.0709142,-50.3510284,,,,,,,,4,8,1982,,,PreservedSpecimen,NY,NYBG,1135128,,,,,,U. N. Maciel,,,,,,Cheniella tenuiflora,Cheniella tenuiflora (Watt ex C.B.Clarke) R.Clark & Mackinder,Cheniella,Leguminosae,Specieslink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,Marab√°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-14 19:34,Watt ex C.B.Clarke,,,,745,,,,,,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1374658' target='other'> <mi>dwc_moreinfo</mi></a>,,Che5
,,,,Plantae,Magnoliophyta,,Fabales,Fabaceae,Bauhinia,tenuiflora,,,Bauhinia tenuiflora,,,Brazil,"√Årea do Reservat√≥rio da Usina Hidrel√©trica de Samuel. Mata de terra firme, solo argiloso.",Rond√¥nia,,,,-8.9204557,-63.418158,,,,,,,,,6,1986,,,PreservedSpecimen,NY,NYBG,1161201,,,,,,C. A. Cid Ferreira,,,,,,Cheniella tenuiflora,Cheniella tenuiflora (Watt ex C.B.Clarke) R.Clark & Mackinder,Cheniella,Leguminosae,Specieslink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,Porto Velho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-14 19:34,Watt ex C.B.Clarke,,,,7426,,,,,,,,,,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1374657' target='other'> <mi>dwc_moreinfo</mi></a>,,Che6
,12158411,,336B9298-A896-41FD-92BD-4619F2BED492,Plantae,Magnoliophyta,,Fabales,Fabaceae,Bauhinia,corymbosa,,Species,Bauhinia corymbosa,,,United States,Hilo,Hawaii,.,,,19.722474,-155.086827,12454,,,,,,1962-06-25,25,6,1962,,,PreservedSpecimen,CM,Botany,CM210715,s.n.,"Wunderlin, R. P. 1979",,,,"Aborn, R.",,,,,,Cheniella corymbosa,Cheniella corymbosa (Roxb. ex DC.) R.Clark & Mackinder,Cheniella,Leguminosae,SEINet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Che7
,19399497,,1FAC1271-87FF-4F86-8357-405E298DD092,Plantae,Magnoliophyta,,Fabales,Fabaceae,,,,,Bauhinia tenuiflora,,,Brazil,AMZA camp 3-Alfa.,Par�,". Steep forested slopes on ridgeteop above camp, selectively cut for lumber.",,,-5.8,-50.55,,,300,,,,1982-06-08,8,6,1982,,,PreservedSpecimen,USF,Herb,186338,6004,R. P. Wunderlin,,,,"C. R. Sperling, M. G. Silva, M. Condon, C. S. Rosario, R. P. Lima, & J. C. dos Santos",,,,,,Cheniella tenuiflora,Cheniella tenuiflora (Watt ex C.B.Clarke) R.Clark & Mackinder,Cheniella,Leguminosae,SEINet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Che8
,19399498,,F87B0D70-6BD8-4CB8-8DF6-0C582C55D6EA,Plantae,Magnoliophyta,,Fabales,Fabaceae,,,,,Bauhinia tenuiflora,,,Brazil,"Mineracao Mibrasa, Setor Alto Candeias, km 128.",Rondonia,". Estrada na ma ta sobre serra, abundancia de pedras, bastante luminosidade.",,,-10.5833,-63.5833,,,,,,,1982-05-16,16,5,1982,,,PreservedSpecimen,USF,Herb,186701,514,R. P. Wunderlin,,,,"L. O. A. Teixeira, A. J. Fife, K. McFarland, C. D. A. Mota, J. L. dos Santos, S. P. Gomes, & B. W. Nelson",,,,,,Cheniella tenuiflora,Cheniella tenuiflora (Watt ex C.B.Clarke) R.Clark & Mackinder,Cheniella,Leguminosae,SEINet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Che9
35434546,,b929f23d-290f-4e85-8f17-764c55b3b284,cd1e655a-a245-4fe0-85f8-0fbb065ccd80,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Bauhinia corymbosa,,SPECIES,Bauhinia corymbosa Roxb. ex DC.,Bauhinia corymbosa,,US,Honolulu,Hawaii,,,,21.3,-157.85,,,,,,,1962-07-03T00:00:00,3,7,1962,7875474,2953436,PRESERVED_SPECIMEN,BPBM,BISH,54719,Collector Number: s.n.,R.P. Wunderlin,1995-01-01T00:00:00,CC0_1_0,Bernice Pauahi Bishop Museum,"Coker, A.H.",,,2020-06-08 20:29,,GEODETIC_DATUM_ASSUMED_WGS84,Cheniella corymbosa,Cheniella corymbosa (Roxb. ex DC.) R.Clark & Mackinder,Cheniella,Leguminosae,GBIF,,,,http://www.vertnet.org/resources/norms.html,,,,,,,,,,,,,,,,,,,,,,,,cd1e655a-a245-4fe0-85f8-0fbb065ccd80,,,,,,,,,en,,,2000-09-13 0:00,,,,,,,,,,,,,,PhysicalObject,,,,,Herbarium Pacificum Hawaiian Islands Specimens,BPBM,,,,,,,,,,,in collection,,,,,"Fls. fragrant, petals white, stamens pink, pistil red.",,,,,,,,,,,,,184,184,03-Jul-62,,,,,,,,,,Pacific Ocean; Northern Polynesia; USA; Main Hawaiian Islands;,,Pacific Ocean,Main Hawaiian Islands,Oahu,,,[Hawaiian Islands; U.S.A.; O`ahu; Hawai`i; Honolulu],,,,,,,,degrees minutes seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corymbosa,Species,,ICNafp,SYNONYM,,,US,,,TRUE,FALSE,2953436,6,7707728,220,1370,5386,2952935,,Bauhinia,Bauhinia corymbosa Roxb.,,DWC_ARCHIVE,2020-06-08 20:29,2020-05-29 3:22,FALSE,,,,,,,,,,,,,,,,,,,,,Che10
