gbifID,abstract,accessRights,accrualMethod,accrualPeriodicity,accrualPolicy,alternative,audience,available,bibliographicCitation,conformsTo,contributor,coverage,created,creator,date,dateAccepted,dateCopyrighted,dateSubmitted,description,educationLevel,extent,format,hasFormat,hasPart,hasVersion,identifier,instructionalMethod,isFormatOf,isPartOf,isReferencedBy,isReplacedBy,isRequiredBy,isVersionOf,issued,language,license,mediator,medium,modified,provenance,publisher,references,relation,replaces,requires,rights,rightsHolder,source,spatial,subject,tableOfContents,temporal,title,type,valid,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,disposition,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOccurrences,associatedOrganisms,previousIdentifications,organismRemarks,materialSampleID,eventID,parentEventID,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,identificationQualifier,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceAboveSurface,distanceAboveSurfaceAccuracy,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,genericName,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,recordedByID,identifiedByID
2574980421,,,,,,,,,,,,,,,,,,,,,,,,,,BRA:UEFS:HUEFS:254686,,,,,,,,,pt,CC_BY_NC_4_0,,,2020-05-08T14:11:21Z,,,,,,,,HUEFS - Herbario da Universidade Estadual de Feira de Santana,,,,,,,Collection,,,,,UEFS,HUEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Universidade Estadual de Feira de Santana,PRESERVED_SPECIMEN,,,,BRA:UEFS:HUEFS:254686,254686,8222,"Faria, J.E.Q.",,,,,,,,,,,,,,,,Borda de mata de galeria.,,,,,,,,,,,,2017-10-07T00:00:00,,,,2017,10,7,,,,,,,,,,,,,,,,BR,Goiás,,Alto Horizonte,"Região da Sururuca. Fazenda Cajás, propriedade do Sr. Jair Eustáquio.",,,,,,,,-14.198333,-49.292222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phanera Lour.,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,,,,GENUS,,,,SYNONYM,,,2e684fd6-09e2-4661-910a-0a188b610c04,BR,2020-07-12T12:14:51.477Z,404.0,0.0,,,,,GEODETIC_DATUM_ASSUMED_WGS84,,true,false,7278390,2952935,6,7707728,220,1370,5386,2952935,,,,Phanera,Bauhinia L.,Phanera,,DWC_ARCHIVE,2020-07-12T12:14:51.477Z,2020-07-12T12:11:22.983Z,false,,,
2517829334,,,,,,,,,,,,,,,,,,,,,,,,,,WAG.1629278@BRAHMS,,,,,,,,,,CC0_1_0,,,,,,,,,,,Naturalis Biodiversity Center,,,,,,,,,Naturalis Biodiversity Center,,,,Botany,,,PRESERVED_SPECIMEN,,,,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1629278,WAG.1629278,Unknown  145 ,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASIA,,,,ID,,,,"Houtsoorten van de Gedeh, Indonesië, Java.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phanera Lour.,,,,,,,Plantae|Magnoliopsidae|Fabales|Leguminosae-Caes.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,,,,GENUS,,,ICN,SYNONYM,,,15f819bd-6612-4447-854b-14d12ee1022d,NL,2020-07-16T00:09:06.768Z,,,,,,,,StillImage,false,false,7278390,2952935,6,7707728,220,1370,5386,2952935,,,,Phanera,Bauhinia L.,Phanera,,DWC_ARCHIVE,2020-07-16T00:09:06.768Z,2020-07-15T22:59:08.847Z,true,,,
2517817353,,,,,,,,,,,,,,,,,,,,,,,,,,WAG.1629279@BRAHMS,,,,,,,,,,CC0_1_0,,,,,,,,,,,Naturalis Biodiversity Center,,,,,,,,,Naturalis Biodiversity Center,,,,Botany,,,PRESERVED_SPECIMEN,,,,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1629279,WAG.1629279,"Elsener, A H 147 ",Elsener A,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965-02-09T00:00:00,,,,1965,2,9,,,,,,,,,,,,,,,,ZZ,,,,W. Borneo; Mt. Raja massiv in jungle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phanera Lour.,,,,,,,Plantae|Magnoliopsidae|Fabales|Leguminosae-Caes.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,,,,GENUS,,,ICN,SYNONYM,,,15f819bd-6612-4447-854b-14d12ee1022d,NL,2020-07-16T00:08:57.445Z,,,,,,,,StillImage,false,false,7278390,2952935,6,7707728,220,1370,5386,2952935,,,,Phanera,Bauhinia L.,Phanera,,DWC_ARCHIVE,2020-07-16T00:08:57.445Z,2020-07-15T22:59:08.847Z,true,,,
2517273114,,,,,,,,,,,,,,,,,,,,,,,,,,L.4300906@BRAHMS,,,,,,,,,,CC0_1_0,,,,,,,,,,,Naturalis Biodiversity Center,,,,,,,,,Naturalis Biodiversity Center,,,,Botany,,,PRESERVED_SPECIMEN,,,,https://data.biodiversitydata.nl/naturalis/specimen/L.4300906,L.4300906,"Royen, P van  3510 ",Royen P van,,,,,,,,,,,,,,,Dw3900,,,,,,,,,,,,,1961-12-01T00:00:00,,,,1961,12,1,,,,,,,,,,,,ASIA,,,,ID,New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phanera Lour.,,,,,,,Plantae|Magnoliopsidae|Fabales|Leguminosae-Caes.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,,,,GENUS,,,ICN,SYNONYM,,,15f819bd-6612-4447-854b-14d12ee1022d,NL,2020-07-16T00:09:25.781Z,,,,,,,,StillImage,false,false,7278390,2952935,6,7707728,220,1370,5386,2952935,,,,Phanera,Bauhinia L.,Phanera,,DWC_ARCHIVE,2020-07-16T00:09:25.781Z,2020-07-15T22:59:08.847Z,true,,,
2515859714,,,,,,,,,,,,,,,,,,,,,,,,,,WAG.1629277@BRAHMS,,,,,,,,,,CC0_1_0,,,,,,,,,,,Naturalis Biodiversity Center,,,,,,,,,Naturalis Biodiversity Center,,,,Botany,,,PRESERVED_SPECIMEN,,,,https://data.biodiversitydata.nl/naturalis/specimen/WAG.1629277,WAG.1629277,Unknown  145 ,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASIA,,,,ID,,,,"Houtsoorten van de Gedeh, Indonesië, Java.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phanera Lour.,,,,,,,Plantae|Magnoliopsidae|Fabales|Leguminosae-Caes.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,,,,GENUS,,,ICN,SYNONYM,,,15f819bd-6612-4447-854b-14d12ee1022d,NL,2020-07-16T00:09:13.065Z,,,,,,,,StillImage,false,false,7278390,2952935,6,7707728,220,1370,5386,2952935,,,,Phanera,Bauhinia L.,Phanera,,DWC_ARCHIVE,2020-07-16T00:09:13.065Z,2020-07-15T22:59:08.847Z,true,,,
2515416680,,,,,,,,,,,,,,,,,,,,,,,,,,L.1974177@BRAHMS,,,,,,,,,,CC0_1_0,,,,,,,,,,,Naturalis Biodiversity Center,,,,,,,,,Naturalis Biodiversity Center,,,,Botany,,,PRESERVED_SPECIMEN,,,,https://data.biodiversitydata.nl/naturalis/specimen/L.1974177,L.1974177,"Jacobs, M  8371 ",Jacobs M,,,,,,,,,,,,,,,L  0901302,,,,,,,,,,,,,1968-05-13T00:00:00,,,,1968,5,13,,,,,,,,,,,,ASIA,,,,ID,Sumatra,,,Lampung Prov. NW of Kota Agung,,,,,,,,-5.383333,104.416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phanera Lour.,,,,,,,Plantae|Magnoliopsidae|Fabales|Leguminosae-Caes.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,,,,GENUS,,,ICN,SYNONYM,,,15f819bd-6612-4447-854b-14d12ee1022d,NL,2020-07-16T00:08:57.767Z,,,,,,,,StillImage,true,false,7278390,2952935,6,7707728,220,1370,5386,2952935,,,,Phanera,Bauhinia L.,Phanera,,DWC_ARCHIVE,2020-07-16T00:08:57.767Z,2020-07-15T22:59:08.847Z,true,,,
2515383204,,,,,,,,,,,,,,,,,,,,,,,,,,L.4300905@BRAHMS,,,,,,,,,,CC0_1_0,,,,,,,,,,,Naturalis Biodiversity Center,,,,,,,,,Naturalis Biodiversity Center,,,,Botany,,,PRESERVED_SPECIMEN,,,,https://data.biodiversitydata.nl/naturalis/specimen/L.4300905,L.4300905,"Royen, P van  3510 ",Royen P van,,,,,,,,,,,,,,,Dw3899,,,,,,,,,,,,,1961-12-01T00:00:00,,,,1961,12,1,,,,,,,,,,,,ASIA,,,,ID,New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phanera Lour.,,,,,,,Plantae|Magnoliopsidae|Fabales|Leguminosae-Caes.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,,,,GENUS,,,ICN,SYNONYM,,,15f819bd-6612-4447-854b-14d12ee1022d,NL,2020-07-16T00:09:09.831Z,,,,,,,,StillImage,false,false,7278390,2952935,6,7707728,220,1370,5386,2952935,,,,Phanera,Bauhinia L.,Phanera,,DWC_ARCHIVE,2020-07-16T00:09:09.831Z,2020-07-15T22:59:08.847Z,true,,,
2515342389,,,,,,,,,,,,,,,,,,,,,,,,,,L.4300904@BRAHMS,,,,,,,,,,CC0_1_0,,,,,,,,,,,Naturalis Biodiversity Center,,,,,,,,,Naturalis Biodiversity Center,,,,Botany,,,PRESERVED_SPECIMEN,,,,https://data.biodiversitydata.nl/naturalis/specimen/L.4300904,L.4300904,"Royen, P van  3510 ",Royen P van,,,,,,,,,,,,,,,Dw3898,,,,,,,,,,,,,1961-12-01T00:00:00,,,,1961,12,1,,,,,,,,,,,,ASIA,,,,ID,New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phanera Lour.,,,,,,,Plantae|Magnoliopsidae|Fabales|Leguminosae-Caes.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,,,,GENUS,,,ICN,SYNONYM,,,15f819bd-6612-4447-854b-14d12ee1022d,NL,2020-07-16T00:09:17.290Z,,,,,,,,StillImage,false,false,7278390,2952935,6,7707728,220,1370,5386,2952935,,,,Phanera,Bauhinia L.,Phanera,,DWC_ARCHIVE,2020-07-16T00:09:17.290Z,2020-07-15T22:59:08.847Z,true,,,
2515228085,,,,,,,,,,,,,,,,,,,,,,,,,,L.4300903@BRAHMS,,,,,,,,,,CC0_1_0,,,,,,,,,,,Naturalis Biodiversity Center,,,,,,,,,Naturalis Biodiversity Center,,,,Botany,,,PRESERVED_SPECIMEN,,,,https://data.biodiversitydata.nl/naturalis/specimen/L.4300903,L.4300903,"Royen, P van  3510 ",Royen P van,,,,,,,,,,,,,,,Dw3897,,,,,,,,,,,,,1961-12-01T00:00:00,,,,1961,12,1,,,,,,,,,,,,ASIA,,,,ID,New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phanera Lour.,,,,,,,Plantae|Magnoliopsidae|Fabales|Leguminosae-Caes.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,,,,GENUS,,,ICN,SYNONYM,,,15f819bd-6612-4447-854b-14d12ee1022d,NL,2020-07-16T00:09:15.108Z,,,,,,,,StillImage,false,false,7278390,2952935,6,7707728,220,1370,5386,2952935,,,,Phanera,Bauhinia L.,Phanera,,DWC_ARCHIVE,2020-07-16T00:09:15.108Z,2020-07-15T22:59:08.847Z,true,,,
2515110718,,,,,,,,,,,,,,,,,,,,,,,,,,L.3897427@BRAHMS,,,,,,,,,,CC0_1_0,,,,,,,,,,,Naturalis Biodiversity Center,,,,,,,,,Naturalis Biodiversity Center,,,,Botany,,,PRESERVED_SPECIMEN,,,,https://data.biodiversitydata.nl/naturalis/specimen/L.3897427,L.3897427,"Wiriadinata, H  13428 ",Wiriadinata H,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-05-24T00:00:00,,,,2008,5,24,,,,,,,,,,,,ASIA,,,,ID,,,,"Mt. Watuwila, Distr. Kolaka SE Sulawesi Province, Rawa Opa National Park.",,,,,,,,-3.737806,121.596722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phanera Lour.,,,,,,,Plantae|Magnoliopsidae|Fabales|Leguminosae-Caes.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,,,,GENUS,,,ICN,SYNONYM,,,15f819bd-6612-4447-854b-14d12ee1022d,NL,2020-07-16T00:09:12.094Z,,,,,,,,StillImage,true,false,7278390,2952935,6,7707728,220,1370,5386,2952935,,,,Phanera,Bauhinia L.,Phanera,,DWC_ARCHIVE,2020-07-16T00:09:12.094Z,2020-07-15T22:59:08.847Z,true,,,
